Map,Call Time,Dispatch Time,Incident Desc,Disposition,Event Number,Location,Priority,Case,Date
,03/24/2024 11:20:07 PM,03/24/2024 11:37:01 PM,Criminal Trespass,RESOLVED,24078320,"3215 W 11TH AVE, EUG",3,,03/24/2024
,03/24/2024 11:17:13 PM,03/24/2024 11:30:14 PM,Dispute,PATROL CHECK,24078316,"4690 ROYAL AVE, EUG",4,,03/24/2024
,03/24/2024 11:04:31 PM,03/24/2024 11:05:18 PM,Dispute,GONE ON ARRIVAL,24078310,"600 VALLEY RIVER CENTER, EUG",3,,03/24/2024
,03/24/2024 11:00:34 PM,,Assault 4,REPORT TAKEN,24078307,"111 MONROE ST, EUG",4,2404313,03/24/2024
,03/24/2024 10:53:15 PM,03/25/2024 12:40:59 AM,Animal Complaint,ADVISED,24078303,"3418 KINSROW AVE, EUG",4,,03/24/2024
,03/24/2024 10:50:02 PM,03/24/2024 11:44:46 PM,Disorderly Subject,FIELD INVESTIGATION,24078300,"159 E 15TH AVE, EUG",3,,03/24/2024
,03/24/2024 10:40:16 PM,03/24/2024 10:46:40 PM,"Accident, Bike",WELFARE CHECK DONE,24078297,"PRAIRIE RD/MAXWELL RD, EUG",3,,03/24/2024
,03/24/2024 10:39:37 PM,03/25/2024 12:07:47 AM,Criminal Trespass,GONE ON ARRIVAL,24078295,"1780 FERRY ALY, EUG",3,,03/24/2024
,03/24/2024 10:37:44 PM,03/24/2024 10:39:39 PM,Dispute,WELFARE CHECK DONE,24078294,"HWY 99N/ROYAL AVE, EUG",3,,03/24/2024
,03/24/2024 10:21:49 PM,03/24/2024 11:04:25 PM,Criminal Trespass,ADVISED,24078289,"1915 W 11TH AVE, EUG",3,,03/24/2024
,03/24/2024 10:06:26 PM,03/24/2024 10:10:33 PM,Dispute,ADVISED,24078283,"3218 WILLAKENZIE RD, EUG",3,,03/24/2024
,03/24/2024 09:52:00 PM,03/24/2024 10:24:08 PM,Criminal Trespass,ARREST,24078273,"2133 CENTENNIAL PLAZA, EUG",3,2404312,03/24/2024
,03/24/2024 09:43:35 PM,03/24/2024 10:01:48 PM,Criminal Trespass,GONE ON ARRIVAL,24078270,"190 HWY 99N, EUG",3,,03/24/2024
,03/24/2024 09:17:37 PM,03/24/2024 09:30:20 PM,Prowler(s),INFORMATION ONLY,24078252,"750 E 15TH AVE, EUG",3,,03/24/2024
,03/24/2024 09:15:28 PM,03/24/2024 09:20:56 PM,Prowler(s),WELFARE CHECK DONE,24078249,"1011 ABBIE LN, EUG",3,,03/24/2024
,03/24/2024 08:38:15 PM,03/24/2024 08:45:46 PM,Criminal Trespass,RESOLVED,24078233,"1690 W 18TH AVE, EUG",3,,03/24/2024
,03/24/2024 08:17:54 PM,03/24/2024 08:25:42 PM,Illegal Burning,INFORMATION ONLY,24078220,"2400 HWY 99N, EUG",5,,03/24/2024
