Event Number,Agency,Dispatch Time,Area,Location,City,Description,Date
25075465,MTRO,00:41:59,4EUG,100 RIVER AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075468,MTRO,01:00:29,5SPR,890 BELTLINE RD,SPR,MEDICAL RESPONSE,2025-03-24
25075476,MTRO,01:31:26,4EUG,5942 ST HELENA ST,EUG,MEDICAL RESPONSE,2025-03-24
25075480,RFD,01:34:50,4EUG,974 BELAIR DR,EUG,MEDICAL RESPONSE,2025-03-24
25075482,MTRO,01:47:21,4RIR,1408 PARNELL DR,EUG,MEDICAL RESPONSE,2025-03-24
25075497,MTRO,02:33:37,5SPR,658 S 57TH ST,SPR,MEDICAL RESPONSE,2025-03-24
25075498,MTRO,02:38:24,5SPR,51 S 17TH PL,SPR,MEDICAL RESPONSE,2025-03-24
25075505,RFD,02:59:37,6SOL,502 E MADISON AVE,COT,ASSIST POLICE,2025-03-24
25075508,MTRO,03:13:00,4RIR,1408 PARNELL DR,EUG,MEDICAL RESPONSE,2025-03-24
25075525,RFD,04:10:10,5DEF,82871 PARKER LN,DEX,MEDICAL RESPONSE,2025-03-24
25075526,MTRO,04:10:12,5DEF,82871 PARKER LN,DEX,MEDICAL RESPONSE,2025-03-24
25075537,RFD,05:34:28,8JCF,990-1/2 HOLLY ST,JUN,MEDICAL RESPONSE,2025-03-24
25075541,RFD,05:56:50,5MKF,37280 CAMP CREEK RD,SPR,MEDICAL RESPONSE,2025-03-24
25075542,MTRO,05:56:51,5MKF,37280 CAMP CREEK RD,SPR,MEDICAL RESPONSE,2025-03-24
25075550,MTRO,06:29:23,4EUG,5320 FOX HOLLOW RD,EUG,MEDICAL RESPONSE,2025-03-24
25075573,MTRO,07:18:25,4EUG,1542 W 1ST AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075576,MTRO,07:34:56,4EUG,1570 PEARL ST,EUG,MEDICAL RESPONSE,2025-03-24
25075587,MTRO,07:57:14,4EUG,1202 JACOBS DR,EUG,MEDICAL RESPONSE,2025-03-24
25075595,MTRO,08:00:35,4EUG,2825 LEO HARRIS PKWY,EUG,MEDICAL RESPONSE,2025-03-24
25075614,RFD,08:28:40,8JCF,530 BIRCH ST,JUN,MEDICAL RESPONSE,2025-03-24
25075619,MTRO,08:30:56,4EUG,W 7TH AVE/WASHINGTON ST,EUG,MOTOR VEH ACC INJURY,2025-03-24
25075623,MTRO,08:33:50,4EUG,W 8TH AVE/LAWRENCE ST,EUG,MEDICAL RESPONSE,2025-03-24
25075627,MTRO,08:44:28,4EUG,1410 W 7TH AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075643,MTRO,09:05:07,5RAB,2245 RHODODENDRON ST,SPR,MEDICAL RESPONSE,2025-03-24
25075647,MTRO,09:07:20,4EUG,598 E 13TH AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075648,RFD,09:08:28,8JCF,1085 W 1ST AVE,JUN,MEDICAL RESPONSE,2025-03-24
25075656,MTRO,09:17:39,4EUG,2941 AVA ST,EUG,MEDICAL RESPONSE,2025-03-24
25075658,MTRO,09:21:45,4EUG,941 W 7TH AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075664,MTRO,09:28:06,4EUG,3500 HILYARD ST,EUG,MEDICAL RESPONSE,2025-03-24
25075669,MTRO,09:30:16,5SPR,221 66TH ST,SPR,MEDICAL RESPONSE,2025-03-24
25075657,MTRO,09:36:50,5SPR,612 CLOVERLEAF LP,SPR,MEDICAL RESPONSE,2025-03-24
25075675,MTRO,09:38:02,4EUG,2099 LAKE SHORE DR,EUG,MEDICAL RESPONSE,2025-03-24
25075680,MTRO,09:43:29,4EUG,3867 EVEREST LP,EUG,MEDICAL RESPONSE,2025-03-24
25075694,MTRO,09:54:33,5GLW,1510-BLK CONCORD AVE,EUG,ACCIDENT BIKE,2025-03-24
25075716,MTRO,10:09:34,4EUG,555 COUNTRY CLUB RD,EUG,MEDICAL RESPONSE,2025-03-24
25075726,MTRO,10:20:10,4EUG,291 W 8TH AVE,EUG,ASSIST POLICE,2025-03-24
25075725,MTRO,10:20:39,4EUG,3225 KINSROW AVE,EUG,PUBLIC ASSIST- FIRE/EMS,2025-03-24
25075660,MTRO,10:25:00,4EUG,1542 W 1ST AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075730,MTRO,10:27:56,4EUG,175 S GARDEN WAY,EUG,MEDICAL RESPONSE,2025-03-24
25075739,RFD,10:32:09,8LFA,87811 NORMAN AVE,VEN,HOUSE FIRE,2025-03-24
25075738,MTRO,10:33:33,4EUG,1824 CAL YOUNG RD,EUG,MEDICAL RESPONSE,2025-03-24
25075760,MTRO,10:51:36,4EUG,3811 CROSS ST,EUG,ASSIST POLICE,2025-03-24
25075761,MTRO,10:52:57,5GLW,E 14TH AVE/LEXINGTON AVE,EUG,ASSIST POLICE,2025-03-24
25075764,MTRO,10:53:57,4LFU,3870 RIVER RD,EUG,MEDICAL RESPONSE,2025-03-24
25075759,RFD,10:53:57,4LFU,3870 RIVER RD,EUG,MEDICAL RESPONSE,2025-03-24
25075766,MTRO,11:01:00,4EUG,1166 E 28TH AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075771,MTRO,11:06:38,4EUG,733 W 4TH ALY,EUG,MEDICAL RESPONSE,2025-03-24
25075777,MTRO,11:09:40,4EUG,1395 UNIVERSITY ST,EUG,"GAS LEAK, LARGE STRUCTURE",2025-03-24
25075790,MTRO,11:23:14,8HAF,285 S 9TH ST,HAR,MEDICAL RESPONSE,2025-03-24
25075755,MTRO,11:28:12,5SPR,610 CLOVERLEAF LP,SPR,MEDICAL RESPONSE,2025-03-24
25075795,RFD,11:32:20,6SOL,1740 S 4TH ST,COT,MEDICAL RESPONSE,2025-03-24
25075799,MTRO,11:38:56,4EUG,499 COVEY LN,EUG,SMOKE FROM A STRUCTURE,2025-03-24
25075808,RFD,11:48:50,8JCF,91416 RIVER RD,JUN,MEDICAL RESPONSE,2025-03-24
25075822,MTRO,12:04:47,5SPR,4675 MAIN ST,SPR,MEDICAL RESPONSE,2025-03-24
25075850,MTRO,12:22:11,5SPR,5781 MAIN ST,SPR,MEDICAL RESPONSE,2025-03-24
25075860,MTRO,12:37:13,4EUG,2121 GRANT ST,EUG,MEDICAL RESPONSE,2025-03-24
25075863,MTRO,12:42:29,4EUG,1100 WILLAMETTE ST,EUG,MEDICAL RESPONSE,2025-03-24
25075862,RFD,12:43:35,8LFA,88081 9TH ST,VEN,MEDICAL RESPONSE,2025-03-24
25075868,MTRO,12:43:36,8LFA,88081 9TH ST,VEN,MEDICAL RESPONSE,2025-03-24
25075878,RFD,12:55:39,8JCF,AYRES LN/LOVE LAKE RD,JUN,VEHICLE IN WATER,2025-03-24
25075881,MTRO,12:55:40,8JCF,AYRES LN/LOVE LAKE RD,JUN,VEHICLE IN WATER,2025-03-24
25075883,MTRO,13:00:55,4EUG,1459 CITY VIEW ST,EUG,MEDICAL RESPONSE,2025-03-24
25075886,MTRO,13:05:46,5SPR,3377 RIVERBEND DR,SPR,MEDICAL RESPONSE,2025-03-24
25075889,RFD,13:12:25,8JCF,355 W 3RD AVE,JUN,MEDICAL RESPONSE,2025-03-24
25075895,MTRO,13:21:26,4EUG,3690 GLENWOOD DR,EUG,MEDICAL RESPONSE,2025-03-24
25075909,MTRO,13:33:11,4EUG,2760 WILLAMETTE ST,EUG,MEDICAL RESPONSE,2025-03-24
25075912,MTRO,13:37:38,5SPR,221 S 52ND PL,SPR,MEDICAL RESPONSE,2025-03-24
25075917,MTRO,13:41:01,4EUG,1410 OAK ST,EUG,MEDICAL RESPONSE,2025-03-24
25075921,MTRO,13:42:17,4EUG,201 RIVER AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075924,RFD,13:49:22,6X,ABEENE LN/LONDON RD,COT,ELECTRICAL PROBLEM,2025-03-24
25075941,MTRO,14:06:48,5SPR,752 PLEASANT ST,SPR,MEDICAL RESPONSE,2025-03-24
25075949,MTRO,14:12:29,4EUG,1530 AGATE ST,EUG,FIRE ALARM,2025-03-24
25075952,RFD,14:13:48,4LFU,214 IRVINGTON DR,EUG,FIRE ALARM,2025-03-24
25075956,MTRO,14:18:20,4EUG,5320 FOX HOLLOW RD,EUG,MEDICAL RESPONSE,2025-03-24
25075967,RFD,14:25:31,6LOF,TERRITORIAL HWY/OLD LORANE RD,EUG,MOTOR VEH ACC UNKNOWN INJ,2025-03-24
25075959,MTRO,14:25:42,4EUG,1200-BLK ADELMAN LP,EUG,MOTOR VEH ACC UNKNOWN INJ,2025-03-24
25075971,MTRO,14:26:53,4EUG,494 W 10TH AVE,EUG,MEDICAL RESPONSE,2025-03-24
25075972,MTRO,14:27:26,4EUG,1800 COBURG RD,EUG,MEDICAL RESPONSE,2025-03-24
25075975,MTRO,14:30:51,5SPR,733 MILL ST,SPR,MEDICAL RESPONSE,2025-03-24
25075984,MTRO,14:39:12,4EUG,3720 N CLAREY ST,EUG,MEDICAL RESPONSE,2025-03-24
