Event Number,Agency,Dispatch Time,Area,Location,City,Description,Date
25048990,MTRO,00:57:36,4EUG,20 ASH ST,EUG,MEDICAL RESPONSE,2025-02-24
25048988,MTRO,01:10:22,4EUG,3574 N DELTA HWY,EUG,MEDICAL RESPONSE,2025-02-24
25049006,MTRO,01:44:18,4EUG,3411 HARLOW RD,EUG,MEDICAL RESPONSE,2025-02-24
25049005,MTRO,01:46:23,4EUG,2326 OAKWAY TER,EUG,MEDICAL RESPONSE,2025-02-24
25049010,MTRO,01:55:18,4EUG,3950 GOODPASTURE LP,EUG,CARBON MONOXIDE ALARM,2025-02-24
25049011,MTRO,02:06:00,4EUG,W 7TH AVE/LAWRENCE ST,EUG,MEDICAL RESPONSE,2025-02-24
25049018,MTRO,02:22:48,4EUG,850 FRANKLIN BLVD,EUG,FIRE ALARM,2025-02-24
25049017,MTRO,02:23:26,4EUG,4275 BARGER DR,EUG,MEDICAL RESPONSE,2025-02-24
25049023,MTRO,02:42:57,4EUG,555 COUNTRY CLUB RD,EUG,MEDICAL RESPONSE,2025-02-24
25049024,MTRO,02:48:25,4EUG,457 LONE OAK AVE,EUG,MEDICAL RESPONSE,2025-02-24
25049027,MTRO,03:00:08,4EUG,4841 W 18TH AVE,EUG,MEDICAL RESPONSE,2025-02-24
25049031,MTRO,03:11:39,4EUG,1955 ARTHUR ST,EUG,MEDICAL RESPONSE,2025-02-24
25049038,MTRO,03:39:45,4EUG,3220 CRESCENT AVE,EUG,MEDICAL RESPONSE,2025-02-24
25049048,MTRO,04:05:45,4EUG,2082 AMIRANTE ST,EUG,MEDICAL RESPONSE,2025-02-24
25049058,MTRO,04:37:22,4EUG,1400 CANDLELIGHT DR,EUG,MEDICAL RESPONSE,2025-02-24
25049060,RFD,04:43:14,4CBF,COBURG RD/LANES TURN RD,EUG,MOTOR VEH ACC UNKNOWN INJ,2025-02-24
25049062,MTRO,04:43:15,4CBF,COBURG RD/LANES TURN RD,EUG,MOTOR VEH ACC UNKNOWN INJ,2025-02-24
25049067,MTRO,05:12:12,4EUG,255 HIGH ST,EUG,MEDICAL RESPONSE,2025-02-24
25049079,MTRO,06:05:09,4EUG,26 E ROSEWOOD AVE,EUG,MEDICAL RESPONSE,2025-02-24
25049095,MTRO,06:48:22,4EUG,2687 JANELLE WAY,EUG,MEDICAL RESPONSE,2025-02-24
25049096,RFD,06:48:22,4EUG,2687 JANELLE WAY,EUG,MEDICAL RESPONSE,2025-02-24
25049100,MTRO,07:13:20,4EUG,1542 W 1ST AVE,EUG,MEDICAL RESPONSE,2025-02-24
25049112,MTRO,07:33:02,4EUG,600 WATERFORD WAY,EUG,MEDICAL RESPONSE,2025-02-24
25049114,MTRO,07:37:00,4EUG,5290 DONALD ST,EUG,MEDICAL RESPONSE,2025-02-24
25049125,MTRO,08:00:32,4EUG,1459 CITY VIEW ST,EUG,MEDICAL RESPONSE,2025-02-24
25049128,MTRO,08:01:16,4EUG,3530 N DELTA HWY,EUG,MEDICAL RESPONSE,2025-02-24
25049129,MTRO,08:05:52,4EUG,W 1ST AVE/JEFFERSON ST,EUG,MEDICAL RESPONSE,2025-02-24
25049135,MTRO,08:16:13,4EUG,3890 W 11TH AVE,EUG,MEDICAL RESPONSE,2025-02-24
25049150,MTRO,08:37:35,4EUG,1542 W 1ST AVE,EUG,MEDICAL RESPONSE,2025-02-24
25049160,MTRO,08:48:09,4EUG,1199 N TERRY ST,EUG,MEDICAL RESPONSE,2025-02-24
25049164,RFD,08:53:40,5PGG,34637 DEVONSHIRE DR,EUG,MEDICAL RESPONSE,2025-02-24
25049168,MTRO,08:53:41,5PGG,34637 DEVONSHIRE DR,EUG,MEDICAL RESPONSE,2025-02-24
25049169,MTRO,08:56:29,4EUG,605 W 4TH AVE,EUG,ASSIST CAHOOTS,2025-02-24
25049171,MTRO,09:03:23,4EUG,1923 ONYX ST,EUG,MEDICAL RESPONSE,2025-02-24
25049194,MTRO,09:21:57,4EUG,RIVER RD/BELTLINE EB,EUG,MEDICAL RESPONSE,2025-02-24
25049200,RFD,09:26:31,5PGG,34666 DEVONSHIRE DR,EUG,MEDICAL RESPONSE,2025-02-24
