yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived,agency
2025,LAW ,25075452,2025-03-24 00:03:33,,PHONE,TRAFFIC HAZARD,RSLV,RESOLVED,136.0,136.0,140,1,1,EP02,3,97401,5U22  ,1,1,EPD
2025,OTHR,25075453,2025-03-24 00:03:47,,W911,"PUBLIC ASSIST, CAHOOTS",ASST,ASSISTED,1997.0,2248.0,3459,1,1,EP05,7,97402,CAHOOT,1,1,CAHOOTS
2025,LAW ,25075455,2025-03-24 00:04:40,2504698,E911,CRIMINAL MISCHIEF,REPT,REPORT TAKEN,120.0,497.0,7766,1,1,EP05,3,97402,4E43  ,4,3,EPD
2025,OTHR,25075456,2025-03-24 00:10:00,,PHONE,"PUBLIC ASSIST, CAHOOTS",ASST,ASSISTED,333.0,693.0,1623,1,1,EP05,7,97402,CAHOOT,1,1,CAHOOTS
2025,LAW ,25075458,2025-03-24 00:18:49,,SELF,PATROL CHECK,ASST,ASSISTED,0.0,0.0,1516,1,1,EP05,6,97402,4X41  ,3,3,EPD
2025,LAW ,25075459,2025-03-24 00:22:04,,W911,PROWLER,GOA ,GONE ON ARRIVAL,301.0,574.0,3410,1,1,EP04,3,97405,4U44  ,4,4,EPD
2025,LAW ,25075460,2025-03-24 00:22:33,,W911,PROWLER,PCHK,PATROL CHECK,103.0,232.0,5100,1,1,EP05,3,97402,6E62  ,5,5,EPD
2025,LAW ,25075461,2025-03-24 00:22:49,,PHONE,CRIMINAL TRESPASS,RSLV,RESOLVED,5304.0,5304.0,5309,1,1,EP02,3,97401,5U22  ,1,1,EPD
2025,LAW ,25075467,2025-03-24 00:51:18,,W911,BEAT INFORMATION,INFO,INFORMATION ONLY,1675.0,1675.0,1683,1,1,EP05,5,97402,4E42  ,1,1,EPD
2025,LAW ,25075472,2025-03-24 01:15:45,,PHONE,CRIMINAL TRESPASS,GOA ,GONE ON ARRIVAL,1722.0,1722.0,2022,1,1,EP02,4,97401,6E31  ,1,1,EPD
